Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
0.809436	0.619470	0.007640	0.747955	81.180000	0.759163	80.990000	
0.834984	0.636271	0.007968	0.747589	81.140000	0.756477	80.930000	
0.797649	0.611984	0.007423	0.741318	81.160000	0.745466	81.290000	
0.805239	0.616039	0.007542	0.738713	81.380000	0.747331	81.160000	
0.840173	0.639623	0.007971	0.730098	81.520000	0.739651	81.380000	
0.797475	0.608788	0.007478	0.730850	81.500000	0.740496	81.270000	
0.818929	0.624076	0.007700	0.736930	81.380000	0.747819	81.050000	
0.803994	0.614400	0.007470	0.743686	81.220000	0.761234	80.840000	
0.798747	0.605638	0.007587	0.733473	81.400000	0.751397	80.930000	
0.808241	0.615852	0.007537	0.734899	81.340000	0.754924	81.030000	
0.829835	0.628397	0.007869	0.734764	81.640000	0.752453	80.860000	
0.810108	0.616211	0.007553	0.731625	81.500000	0.749089	80.890000	
0.827120	0.625648	0.007826	0.729000	81.480000	0.752022	80.820000	
0.821208	0.625419	0.007583	0.721144	81.640000	0.738578	81.000000	
0.816040	0.621045	0.007532	0.723913	81.840000	0.741288	81.160000	
0.799045	0.606813	0.007404	0.725223	81.640000	0.741197	81.140000	
0.815773	0.617878	0.007600	0.721669	81.780000	0.738474	81.220000	
0.804721	0.611505	0.007400	0.724459	81.780000	0.744044	81.090000	
0.796937	0.608129	0.007211	0.720806	81.980000	0.737086	81.280000	
0.825232	0.623262	0.007692	0.722311	81.800000	0.735664	81.350000	
0.789124	0.597313	0.007284	0.726655	81.580000	0.744145	81.100000	
0.816557	0.613815	0.007679	0.724144	81.680000	0.741277	81.240000	
0.811270	0.612622	0.007502	0.732931	81.540000	0.749442	80.920000	
0.794583	0.603107	0.007212	0.724779	81.780000	0.735285	81.390000	
0.828679	0.623653	0.007701	0.729149	81.820000	0.742364	81.120000	
0.781124	0.585648	0.007322	0.725079	81.700000	0.742016	81.300000	
0.827775	0.625627	0.007551	0.721683	81.680000	0.739418	81.310000	
0.807300	0.610306	0.007338	0.721020	81.740000	0.738628	81.210000	
0.816837	0.616710	0.007435	0.714636	82.020000	0.731361	81.440000	
0.832377	0.628039	0.007571	0.722351	81.900000	0.739100	81.200000	
0.829625	0.623437	0.007619	0.714673	82.060000	0.730988	81.330000	
0.810348	0.607066	0.007491	0.706946	82.140000	0.724465	81.660000	
0.790861	0.597235	0.007116	0.711686	82.260000	0.727442	81.800000	
0.821211	0.614476	0.007578	0.715726	82.100000	0.731060	81.480000	
0.801682	0.601422	0.007321	0.711487	82.100000	0.729727	81.610000	
0.821360	0.614127	0.007555	0.708507	82.180000	0.726985	81.740000	
0.785218	0.589515	0.007116	0.706044	82.320000	0.725464	81.650000	
0.837276	0.624982	0.007699	0.702746	82.240000	0.716739	81.940000	
0.823032	0.614829	0.007530	0.707068	82.180000	0.720394	82.030000	
0.822827	0.617787	0.007396	0.700403	82.480000	0.708509	82.160000	
0.799620	0.598223	0.007246	0.696795	82.480000	0.703588	82.250000	
